animal,black,blue,bright,brown,dark,gold,gray,grey,light,orange,pink,red,single,stripes,white,yellow
bat,0.043734054348526445,0.06016071880447778,0.06429646538831384,0.05119091079116814,0.1128066909112872,0.11129064773965443,0.026588242231440632,0.14314299652196277,0.09620240091619356,0.09658797261787538,0.031994641755558266,0.058236603442599844,0.07237178125785372,4.125656708447781e-5,0.08570353891486095,0.0607370207222521
crow,0.05610384902537645,0.12506956211042355,0.08642628591850984,0.050047502306656985,0.05514461272630881,0.1490601252731582,0.11339918812286785,0.08849359987139223,0.08917264739251318,0.045504691430391146,0.1714500781727058,0.079918124121482,-0.0028255827177688167,0.08448624275970704,0.013771939269188757,0.06536120194138641
deer,0.07187008112238137,0.1773996829124503,0.10554232165711049,0.16139409874407037,0.18375339988547776,0.09556532206647232,0.23224161521603687,0.1285752520994717,0.13456701968196377,0.11116034168608627,0.04457034725357705,0.18242000724300328,0.045394486179885354,0.02168279967381788,0.08241240954547946,0.14255038457199234
elephant,0.04057457360336284,0.09561217181498227,0.09728069748794933,0.11824780392225911,0.1349862498682111,0.08078709250329769,0.0344002741737229,0.1447836255905825,0.09961015951925131,0.08028906898723347,0.04895340534551516,0.10340556830240717,0.15860555856166855,0.16991418262208946,-0.00909768313429677,0.12297980553393403
flamingo,0.149452450536174,0.19319219076787955,0.11925240286649384,0.15302408686480065,0.10586089484080105,0.10385302670383,0.10754435580325787,0.10320433332793572,0.07660639855993588,0.2113434739132761,0.2716508524334755,0.21128619550591166,0.07949995670395703,0.06180603483941075,0.09668770870112271,0.20866614640290607
giraffe,0.14249580455138922,0.0671712755028072,0.07933643201667753,0.08553239338380837,0.17561005738443092,0.10321921436500962,0.18807064535752419,0.13903332756809184,0.19327690669754144,0.139575923370144,0.12123388527686613,0.06323684018241026,0.18595728223416325,0.16164995109095046,0.0891844041646707,0.09333665047403858
goat,0.1056524787611169,0.203321676061301,0.0019222661055857207,0.23708670881448013,0.18497495137598494,0.08293747967530442,0.07211379496884623,0.06358508987768033,0.04743798377623181,0.11806229564429202,0.040245410338670934,0.18961437348111698,0.058328646293360396,0.06523805328801917,0.12398976983699031,0.042857407838821145
gorilla,0.16221950138377797,0.07161378951560991,0.07896506209891378,0.09192222648393271,0.2066144064487719,0.11873933879795037,0.12429322689323132,0.15596382990612792,0.1807303106590018,0.09128257426952742,0.09172000211994932,0.034513541929254175,0.13718047252325882,0.12808412634375488,0.07870018478562535,0.18039441715286633
hippo,0.10414602190356165,0.0927029625303019,0.12614412023707466,0.08670090159663377,0.17658718115680166,0.05127951378791482,0.11599461662830264,0.03165655361991765,0.18304358116931876,-0.018007961844253805,0.09562298962347625,0.11545382262190003,0.1044279757402429,0.05646980618229833,0.0549850182137819,0.12198102564909244
lion,0.11331665289301351,0.05482887262208043,0.01655989037457462,0.1486941649331861,0.07422731074259242,0.14177624476061812,0.03028752073562635,0.12165823110433975,0.12769177575549728,0.08508284817806332,0.10945920935461126,0.12824342971318795,0.05393544219115031,0.03860768245755827,0.07101183734796447,0.04877606002441572
llama,0.01897460200250714,0.09487942555824143,0.07508718441406156,0.07676739673281029,0.10784137540891334,0.01929513524689433,0.06118496731526559,0.12451181054543842,0.08979897584264371,0.0648900568814156,0.06130454638070682,0.1130469527098685,0.09413943091901927,0.09538351343521749,0.016027772311778037,0.08827341787851908
panda,0.03970249972711297,0.08671278471472485,0.11068848366015137,0.05909840416869138,0.1421804811157809,0.11618321954994737,0.23220425715250517,0.0696074921398363,0.04063542898860557,0.01206412794456606,0.08613584166505885,0.019365195415475083,0.12287241683308006,0.08622252506005466,0.14088488266488802,0.030921027451280992
pig,0.06425899801980833,0.050483381784306905,0.0581874623879857,0.1314396080797358,0.1043700296339197,0.1465262452793923,0.049462581370176714,0.09542730426354114,0.09482883134905085,0.08259095228485226,0.14374209842587504,0.10516560065895768,0.09323209626037231,0.005023608744971733,0.08473891954803779,0.08990556330151912
pigeon,0.0876419150500735,0.04400144851769163,0.007964934477730976,0.08193399294103822,0.035416227634305256,0.1270980970143161,0.09363429360203433,0.0980154825219695,0.0652133424885565,-0.007827232823408215,0.12804380747233757,-0.012994083924781326,0.05898593789603196,0.06834158280593743,0.03583128885631765,0.045581976932797814
shark,0.19746090228813445,0.1306391542161408,0.059859050932803255,0.0646817144838345,0.07602278773828165,0.027675513142587056,0.050859636033358684,0.16213729905164834,0.15865585259988477,0.1457308255540749,0.09999710935892103,0.1264991114767424,0.09436677043396266,0.08512722562365403,0.1378223888113452,0.020743050971241617
sheep,0.1855206574474245,0.18760499451343168,0.16014066397370452,0.07884001624371527,0.061335857769756995,-0.027856590761131093,0.1419585668985858,0.09604446850612748,0.11984352994907875,0.04948508228612634,0.07686578751747478,0.14010920745367036,0.01916652905105458,0.04315324427301533,0.1791191446617127,0.14710937941843588
skunk,0.10623307253354737,0.17578767915158466,0.10328323435923924,0.06393343656113572,0.14021434756751103,0.06401626534958262,0.1388876832127709,0.1527163029302745,0.08979357397022845,0.06296651857896815,0.1713237562852636,0.16581075537823953,0.16005179100056094,0.11647317805661475,0.10345653277982247,0.21606575664969
swan,0.03175196753784936,0.05860745110837771,0.004327380835576455,0.036636486173026055,0.10371601657991686,0.16007781920748204,0.0988236848776586,0.04751885060632774,0.1588221267642024,0.13161783790791587,0.09388095089565411,0.024817348920193258,0.10581029689018591,0.057907970258886825,0.161987917409063,0.07650006009312521
zebra,0.09553685763485467,0.10976190510688094,0.11178947610849334,0.20286235250608217,0.11412623769730654,-0.0016338129078924699,0.04876195813669971,0.21488153833923732,0.08223573319637682,0.10845773461968108,0.0944735779166157,0.15876042247236258,0.16338883768805287,0.22421659074792094,0.09093057824926994,0.05757420067218333
